state_long,state_short,elec_year,gelec_dem,gelec_rep,gelec_oth
Alabama ,AL,2014,,795606,22484
Alaska ,AK,2014,129431,135445,17524
Arkansas ,AR,2014,334174,478819,34512
Colorado ,CO,2014,944203,983891,112964
Delaware ,DE,2014,130655,98823,4560
Georgia ,GA,2014,1160811,1358088,48906
Hawaii ,HI,2014,246827,98006,8941
Idaho ,ID,2014,151574,285596,
Illinois ,IL,2014,1929637,1538522,135360
Iowa ,IA,2014,494370,588575,46755
Kansas ,KS,2014,,460350,405841
Kentucky ,KY,2014,584698,806787,44383
Louisiana ,LA,2014,1200443,1532156,13034
Maine ,ME,2014,190244,413495,269
Massachusetts ,MA,2014,1289944,791950,3078
Michigan ,MI,2014,1704936,1290199,126640
Minnesota ,MN,2014,1053205,850227,78096
Mississippi ,MS,2014,239439,378481,13938
Montana ,MT,2014,148184,213709,7933
Nebraska ,NE,2014,170127,347636,22574
New Hampshire ,NH,2014,251184,235347,1628
New Jersey ,NJ,2014,1043866,791297,34372
New Mexico ,NM,2014,286409,229097,
North Carolina ,NC,2014,1377651,1423259,114371
Oklahoma ,OK,2014,472230,1115168,54225
Oregon ,OR,2014,814537,538847,108234
Rhode Island ,RI,2014,223675,92684,539
South Carolina ,SC,2014,916309,1430156,132592
South Dakota ,SD,2014,82456,140741,56215
Tennessee ,TN,2014,437848,850087,86130
Texas ,TX,2014,1597387,2861531,189440
Virginia ,VA,2014,1073667,1055940,54866
West Virginia ,WV,2014,156360,281820,15509
Wyoming ,WY,2014,29377,121554,17459
